*SURE-Pulse File3*
Sample Type				:Tension Rect
Sample Name				:20141211-EXP-004-12INCH-185PSI-100.53FPS
In English				:TRUE
Date     				:12/11/2014
File path saved           ¥C:\Users\CameraLaptop\Dropbox\EXPONENT\S004\20141211-EXP-004-12INCH-185PSI-100.53FPS.txt
€SAMPLE/SHOT INFO

Sample Length(in)			:0.25
Sample Height(in)			:0.234
Sample Width(in)			:0.122
Sample Density(lb/in^3)			:0.298
Sample Youngs Modulus (psi*10^6)	:28
Sample Heat Capacity (BTU/(lb*F))	:0.2
Striker Bar Length(in) 			:24
Striker Bar Diameter(in)		:0.75
Striker Bar Speed(ft/s)			:33.38
Striker Bar Density(lb/in^3)			:0.298
Sample Notes 
¥¥
€BAR SETUP/MODULUS CALIBRATION
Bar Setup/Modulus Calibration name	:Exponent
Distance to Incident Strain Gauge(in)	:36
Voltage Calibrated of Incident Bar	:2
Length of Incident Strain Gauge(in)	:0.25
Resistance of 1000 micro Strain
Calibration of Incident Gauge*10^3	:59.94
Gauge Factor of Incident Gauge		:2.15
Gauge Resistance of Incident Gauge	:120
Incident Bar Diameter(in)			:0.75
Incident Bar Density(lb/in^3)			:0.298

Distance to Transmission Strain Gauge(in):36
Voltage Calibrated of Transmission Bar	:2
Length of Incident Strain Gauge(in)	:0.25
Resistance of 1000 micro Strain
Calibration of Transmission Gauge*10^3:59.94
Gauge Factor of Transmission Gauge	:2
Gauge Resistance of Transmission Gauge	:120
Transmission Bar Diameter(in)			:0.75
Transmission Bar Density(lb/in^3)			:0.298

Name of Incident Calibration File	:Manually entered
Name of Transmission Calibration File	:Manually entered
Young's Modulus Incident(psi)		:28
Young's Modulus Transmission(psi)	:28
¥CAMERA PRESENT¥
Camera Frames Per Second	:500000
€PULSE SELECTION
PULSE NOT SELECTED

€DATA
Time(μs)   Incident Bar (V)    Transmission Bar(V)
-184.34856	0	-0.01098767
-184.29856	-0.00610426	-0.01709193
-184.24856	-0.00610426	-0.01098767
-184.19856	-0.01098767	0
-184.14856	-0.01098767	-0.01709193
-184.09856	0	-0.00610426
-184.04856	-0.00610426	-0.01709193
-183.99856	0	0
-183.94856	0	0
-183.89856	0	-0.00610426
-183.84856	0.00488341	-0.00610426
-183.79856	-0.00610426	-0.00610426
-183.74856	0.00488341	-0.01098767
-183.69856	-0.01587108	-0.01709193
-183.64856	0	-0.01098767
-183.59856	0	-0.00610426
-183.54856	0	-0.01098767
-183.49856	0	-0.01098767
-183.44856	0	-0.01709193
-183.39856	-0.02685875	-0.01709193
-183.34856	-0.00610426	-0.01709193
-183.29856	-0.01098767	-0.01098767
-183.24856	0	-0.00610426
-183.19856	-0.00610426	-0.00610426
-183.14856	-0.01098767	-0.01709193
-183.09856	-0.01098767	-0.01709193
-183.04856	-0.01587108	-0.01098767
-182.99856	0	-0.01709193
-182.94856	-0.02197534	-0.01709193
-182.89856	-0.00610426	-0.01098767
-182.84856	-0.00610426	-0.01098767
-182.79856	-0.02197534	-0.01098767
-182.74856	-0.01098767	-0.01098767
-182.69856	-0.01587108	-0.01098767
-182.64856	-0.01098767	-0.01709193
-182.59856	-0.02197534	-0.00610426
-182.54856	-0.01098767	-0.01098767
-182.49856	-0.01098767	0
-182.44856	-0.01587108	0
-182.39856	-0.01587108	-0.00610426
-182.34856	-0.01587108	-0.01709193
-182.29856	-0.00610426	-0.02197534
-182.24856	-0.01098767	-0.01098767
-182.19856	-0.00610426	-0.01098767
-182.14856	-0.02685875	-0.01098767
-182.09856	-0.01098767	-0.00610426
-182.04856	-0.02197534	-0.01098767
-181.99856	-0.01098767	-0.00610426
-181.94856	-0.00610426	-0.01709193
-181.89856	-0.02197534	-0.00610426
-181.84856	0	0
-181.79856	-0.02197534	-0.01709193
-181.74856	-0.01587108	-0.01098767
-181.69856	-0.01587108	-0.01098767
-181.64856	-0.01098767	-0.01098767
-181.59856	-0.01098767	-0.00610426
-181.54856	0.00488341	-0.00610426
-181.49856	0	0
-181.44856	-0.00610426	-0.01098767
-181.39856	-0.00610426	-0.01709193
-181.34856	0	-0.00610426
-181.29856	-0.00610426	-0.00610426
-181.24856	-0.01098767	-0.00610426
-181.19856	-0.00610426	-0.01098767
-181.14856	-0.01098767	-0.01709193
-181.09856	-0.00610426	-0.01098767
-181.04856	-0.01098767	-0.00610426
-180.99856	-0.01587108	-0.00610426
-180.94856	-0.01098767	-0.01098767
-180.89856	-0.01098767	-0.01098767
-180.84856	-0.01098767	-0.01098767
-180.79856	-0.00610426	0
-180.74856	0	-0.00610426
-180.69856	-0.00610426	-0.01098767
-180.64856	-0.00610426	-0.00610426
-180.59856	-0.00610426	-0.00610426
-180.54856	-0.00610426	0.00488341
-180.49856	-0.01098767	0
-180.44856	0	-0.00610426
-180.39856	0	-0.01098767
-180.34856	-0.01098767	-0.01709193
-180.29856	0	0.00488341
-180.24856	0	-0.01098767
-180.19856	-0.01587108	-0.00610426
-180.14856	0	0
-180.09856	0	-0.01098767
-180.04856	-0.00610426	0
-179.99856	0.00488341	-0.01098767
-179.94856	-0.01098767	-0.01098767
-179.89856	0	-0.01709193
-179.84856	0.00976682	0
-179.79856	-0.01098767	0.00488341
-179.74856	0	-0.01709193
-179.69856	0.00976682	-0.01098767
-179.64856	0	-0.02197534
-179.59856	0	0
-179.54856	0.00488341	-0.01098767
-179.49856	0.00488341	-0.01098767
-179.44856	0.01465023	-0.01098767
-179.39856	0.00976682	-0.00610426
-179.34856	-0.01098767	-0.00610426
-179.29856	-0.01098767	-0.00610426
-179.24856	0.00976682	-0.00610426
-179.19856	0.00488341	0
-179.14856	-0.01587108	0
-179.09856	-0.00610426	0
-179.04856	-0.01098767	-0.00610426
-178.99856	0.01465023	0
-178.94856	-0.00610426	-0.01098767
-178.89856	-0.00610426	0.00488341
-178.84856	-0.01098767	0.00488341
-178.79856	0	-0.01098767
-178.74856	0.00488341	-0.00610426
-178.69856	-0.00610426	-0.00610426
-178.64856	0.00976682	0
-178.59856	0.00488341	0
-178.54856	0.00976682	0
-178.49856	0.00488341	-0.01098767
-178.44856	0.00488341	-0.00610426
-178.39856	0.00488341	-0.01098767
-178.34856	0.00976682	-0.01098767
-178.29856	0.00488341	-0.01098767
-178.24856	0.00976682	0
-178.19856	-0.00610426	-0.00610426
-178.14856	0.00488341	0.00488341
-178.09856	-0.00610426	0
-178.04856	-0.01098767	0
-177.99856	0	-0.00610426
-177.94856	-0.01587108	0
-177.89856	0.00488341	-0.01098767
-177.84856	-0.01098767	0.00488341
-177.79856	-0.01098767	-0.00610426
-177.74856	0.00488341	0
-177.69856	-0.01098767	-0.00610426
-177.64856	-0.00610426	-0.01098767
-177.59856	0	-0.00610426
-177.54856	-0.00610426	0.00976682
-177.49856	-0.01587108	0.00488341
-177.44856	0	0
-177.39856	-0.01098767	-0.00610426
-177.34856	0.00488341	0.00488341
-177.29856	-0.00610426	-0.01098767
-177.24856	-0.00610426	-0.01098767
-177.19856	0	0
-177.14856	0.00488341	-0.01098767
-177.09856	0	-0.01098767
-177.04856	0	-0.00610426
-176.99856	0	0
-176.94856	-0.00610426	-0.02197534
-176.89856	0	-0.00610426
-176.84856	0.00488341	-0.01098767
-176.79856	0.00488341	-0.01098767
-176.74856	-0.00610426	0
-176.69856	-0.03174216	-0.00610426
-176.64856	-0.01098767	-0.01098767
-176.59856	-0.02197534	-0.00610426
-176.54856	-0.01098767	-0.00610426
-176.49856	-0.00610426	-0.00610426
-176.44856	-0.00610426	-0.01709193
-176.39856	0	-0.01098767
-176.34856	-0.01098767	-0.01709193
-176.29856	0.00488341	-0.01709193
-176.24856	0	-0.01709193
-176.19856	0.00488341	-0.01709193
-176.14856	-0.00610426	0
-176.09856	-0.01587108	-0.00610426
-176.04856	-0.00610426	-0.01098767
-175.99856	0	0
-175.94856	0	0
-175.89856	0	0
-175.84856	0	-0.00610426
-175.79856	-0.01587108	-0.01709193
-175.74856	0	-0.00610426
-175.69856	0.00488341	0
-175.64856	-0.01098767	-0.01098767
-175.59856	0.00976682	-0.01709193
-175.54856	0.00976682	-0.01098767
-175.49856	-0.01587108	-0.01709193
-175.44856	0	-0.02197534
-175.39856	-0.01098767	-0.01709193
-175.34856	-0.00610426	-0.00610426
-175.29856	0	-0.01098767
-175.24856	0	-0.01098767
-175.19856	-0.01098767	-0.01098767
-175.14856	-0.00610426	-0.01709193
-175.09856	0	-0.00610426
-175.04856	-0.01098767	0
-174.99856	-0.00610426	-0.00610426
-174.94856	-0.01098767	-0.01709193
-174.89856	-0.01098767	-0.01098767
-174.84856	-0.00610426	-0.01098767
-174.79856	-0.01587108	-0.01098767
-174.74856	-0.01098767	-0.01709193
-174.69856	-0.01098767	-0.01098767
-174.64856	-0.00610426	-0.01709193
-174.59856	-0.01587108	-0.01709193
-174.54856	-0.00610426	-0.01709193
-174.49856	-0.00610426	-0.00610426
-174.44856	-0.02197534	-0.00610426
-174.39856	-0.01098767	-0.00610426
-174.34856	0	-0.01709193
-174.29856	0	0
-174.24856	-0.00610426	-0.01098767
-174.19856	0	-0.00610426
-174.14856	0	-0.00610426
-174.09856	-0.01098767	0.00488341
-174.04856	-0.00610426	-0.01098767
-173.99856	0	-0.01098767
-173.94856	0.00488341	0
-173.89856	-0.00610426	-0.01098767
-173.84856	-0.01098767	0
-173.79856	-0.00610426	-0.01709193
-173.74856	-0.02197534	-0.00610426
-173.69856	0	0
-173.64856	-0.01098767	-0.00610426
-173.59856	-0.01098767	-0.01098767
-173.54856	-0.00610426	-0.01709193
-173.49856	-0.01098767	-0.01098767
-173.44856	-0.01098767	-0.01098767
-173.39856	-0.01587108	-0.00610426
-173.34856	-0.01098767	-0.00610426
-173.29856	0	-0.01709193
-173.24856	-0.01587108	-0.02197534
-173.19856	-0.02197534	-0.02197534
-173.14856	-0.01587108	-0.01098767
-173.09856	-0.00610426	-0.01098767
-173.04856	0	0
-172.99856	-0.01098767	-0.01098767
-172.94856	-0.01098767	-0.01709193
-172.89856	-0.01098767	-0.01098767
-172.84856	-0.00610426	-0.01098767
-172.79856	0	0.00488341
-172.74856	-0.00610426	-0.00610426
-172.69856	-0.01098767	-0.01098767
-172.64856	-0.02685875	-0.01709193
-172.59856	-0.01098767	-0.01098767
-172.54856	-0.01098767	-0.01098767
-172.49856	-0.01587108	-0.01709193
-172.44856	-0.02197534	-0.01098767
-172.39856	-0.00610426	-0.01098767
-172.34856	-0.01587108	-0.01709193
-172.29856	-0.01587108	-0.01709193
-172.24856	-0.01587108	-0.01098767
-172.19856	-0.01098767	0
-172.14856	-0.01098767	0.00488341
-172.09856	-0.01587108	0.00488341
-172.04856	0.00488341	-0.00610426
-171.99856	-0.02197534	-0.01709193
-171.94856	0	-0.00610426
-171.89856	-0.01098767	-0.00610426
-171.84856	0	0
-171.79856	-0.01098767	0
-171.74856	-0.01098767	-0.00610426
-171.69856	0	-0.00610426
-171.64856	-0.00610426	-0.01709193
-171.59856	-0.00610426	-0.01098767
-171.54856	0	-0.00610426
-171.49856	0	0
-171.44856	-0.00610426	0
-171.39856	-0.00610426	-0.01098767
-171.34856	0	-0.00610426
-171.29856	0.00488341	-0.01098767
-171.24856	-0.00610426	-0.01098767
-171.19856	-0.00610426	-0.00610426
-171.14856	0	-0.00610426
-171.09856	-0.01098767	0.00488341
-171.04856	-0.01098767	0
-170.99856	-0.01587108	-0.00610426
-170.94856	-0.01587108	-0.01098767
-170.89856	-0.01587108	-0.00610426
-170.84856	-0.01587108	-0.00610426
-170.79856	-0.01587108	-0.00610426
-170.74856	-0.01098767	-0.01709193
-170.69856	-0.00610426	0
-170.64856	-0.01587108	-0.00610426
-170.59856	-0.01098767	-0.01709193
-170.54856	0.00488341	0.00976682
-170.49856	-0.01098767	0
-170.44856	0	-0.01098767
-170.39856	0	-0.01098767
-170.34856	-0.00610426	-0.01098767
-170.29856	-0.02197534	-0.00610426
-170.24856	-0.01098767	-0.00610426
-170.19856	-0.01098767	-0.00610426
-170.14856	-0.00610426	-0.01098767
-170.09856	-0.01587108	-0.02197534
-170.04856	-0.00610426	-0.01709193
-169.99856	0	-0.01709193
-169.94856	-0.00610426	-0.01098767
-169.89856	0	-0.01709193
-169.84856	-0.01098767	-0.01709193
-169.79856	0	0
-169.74856	0.00976682	-0.01098767
-169.69856	0.00976682	-0.00610426
-169.64856	-0.00610426	0
-169.59856	0.00976682	-0.01098767
-169.54856	0	-0.01709193
-169.49856	-0.00610426	-0.01098767
-169.44856	0	-0.00610426
-169.39856	-0.00610426	-0.00610426
-169.34856	-0.00610426	0
-169.29856	0	-0.01709193
-169.24856	-0.00610426	-0.00610426
-169.19856	-0.01587108	-0.00610426
-169.14856	-0.01587108	-0.01709193
-169.09856	-0.02197534	-0.01098767
-169.04856	0.00488341	-0.01709193
-168.99856	0	-0.00610426
-168.94856	-0.00610426	-0.01098767
-168.89856	0.00488341	-0.00610426
-168.84856	0	-0.01709193
-168.79856	0.00488341	0.00488341
-168.74856	-0.00610426	-0.00610426
-168.69856	-0.00610426	-0.01709193
-168.64856	0.00488341	-0.00610426
-168.59856	-0.01098767	-0.01098767
-168.54856	-0.01098767	-0.00610426
-168.49856	-0.01098767	-0.01098767
-168.44856	-0.01587108	-0.00610426
-168.39856	-0.02197534	-0.00610426
-168.34856	-0.01098767	-0.01098767
-168.29856	0	-0.01098767
-168.24856	0	-0.01709193
-168.19856	-0.00610426	-0.01098767
-168.14856	-0.00610426	-0.01098767
-168.09856	0.00488341	-0.01709193
-168.04856	-0.00610426	-0.01098767
-167.99856	-0.00610426	-0.01098767
-167.94856	-0.01587108	-0.00610426
-167.89856	0	-0.01098767
-167.84856	0	-0.00610426
-167.79856	-0.00610426	0
-167.74856	0	0
-167.69856	-0.01587108	-0.01709193
-167.64856	0	-0.01098767
-167.59856	0	-0.01709193
-167.54856	-0.00610426	-0.01098767
-167.49856	-0.01098767	-0.00610426
-167.44856	0	-0.01709193
-167.39856	-0.00610426	-0.01098767
-167.34856	-0.00610426	0
