Time	Channel A	Channel B
(us)	(V)	(V)

-95.12360579	0.00488341	0.01465023
-95.11110579	0.00976682	0.02075449
-95.09860579	0.00976682	-0.00610426
-95.08610579	0.00488341	0.00488341
-95.07360579	0.00488341	0.01465023
-95.06110580	0.00976682	0.01465023
-95.04860580	0.00488341	0.01465023
-95.03610580	0.00488341	0.01465023
-95.02360580	0.01587108	0.01465023
-95.01110580	0.00000000	0.00488341
-94.99860580	0.00976682	0.01465023
-94.98610580	-0.00610426	0.01465023
-94.97360580	0.00488341	0.00488341
-94.96110580	0.00488341	0.01465023
-94.94860580	0.00000000	0.02075449
-94.93610580	0.00488341	0.00976682
-94.92360580	0.00976682	0.00976682
-94.91110580	0.00488341	0.01465023
-94.89860580	0.00488341	0.00976682
-94.88610581	0.00488341	0.00976682
-94.87360581	0.00000000	0.01465023
-94.86110581	0.02075449	0.00976682
-94.84860581	0.01587108	0.02075449
-94.83610581	0.00488341	0.02075449
-94.82360581	0.00488341	0.01465023
-94.81110581	0.00000000	0.00488341
-94.79860581	0.00000000	0.00488341
-94.78610581	0.00488341	0.00000000
-94.77360581	0.00000000	0.01465023
-94.76110581	0.00976682	0.01465023
-94.74860581	0.00488341	0.01465023
-94.73610581	0.00000000	0.00488341
-94.72360582	0.00488341	0.01465023
-94.71110582	0.00000000	0.00488341
-94.69860582	0.00976682	0.00976682
-94.68610582	0.00000000	0.00976682
-94.67360582	0.00488341	0.00976682
-94.66110582	0.00488341	0.00488341
-94.64860582	0.00976682	0.00976682
-94.63610582	0.00976682	0.00488341
-94.62360582	0.00488341	0.00976682
-94.61110582	-0.00610426	0.00976682
-94.59860582	0.00000000	0.01465023
-94.58610582	0.00488341	0.01465023
-94.57360582	0.00000000	0.02075449
-94.56110582	0.00488341	0.00488341
-94.54860583	0.00976682	0.01465023
-94.53610583	0.00000000	0.02075449
-94.52360583	-0.00610426	0.02075449
-94.51110583	0.00976682	0.00976682
-94.49860583	0.00488341	0.00488341
-94.48610583	0.00488341	0.02075449
-94.47360583	0.01587108	0.00488341
-94.46110583	0.00000000	0.01465023
-94.44860583	0.00488341	0.02075449
-94.43610583	0.00488341	0.00488341
-94.42360583	0.00488341	0.00488341
-94.41110583	0.00488341	0.02075449
-94.39860583	0.00488341	0.01465023
-94.38610584	0.00488341	0.01465023
-94.37360584	0.00000000	0.01465023
-94.36110584	0.00488341	0.00976682
-94.34860584	0.00488341	0.02075449
-94.33610584	0.00488341	0.00976682
-94.32360584	0.00000000	0.00976682
-94.31110584	0.00000000	0.00976682
-94.29860584	0.00488341	0.00976682
-94.28610584	-0.00610426	0.00976682
-94.27360584	0.00488341	0.00976682
-94.26110584	0.00488341	0.01465023
-94.24860584	0.00976682	0.00488341
-94.23610584	0.00488341	0.00976682
-94.22360584	0.00488341	0.01465023
-94.21110585	0.00000000	0.01465023
-94.19860585	0.00000000	0.02075449
-94.18610585	0.00488341	0.01465023
-94.17360585	-0.00610426	0.00976682
-94.16110585	0.00976682	0.00976682
-94.14860585	-0.00610426	0.00976682
-94.13610585	0.00488341	0.01465023
-94.12360585	0.00000000	0.01465023
-94.11110585	-0.00610426	0.00488341
-94.09860585	0.01587108	0.00976682
-94.08610585	0.00000000	0.00976682
-94.07360585	0.00976682	0.00976682
-94.06110585	0.00976682	0.00976682
-94.04860586	0.00488341	0.00000000
-94.03610586	0.00488341	0.00488341
-94.02360586	0.00000000	0.00976682
-94.01110586	0.00000000	0.00000000
-93.99860586	-0.00610426	0.00976682
-93.98610586	0.00000000	0.00488341
-93.97360586	0.00000000	-0.00610426
-93.96110586	0.00000000	0.00488341
-93.94860586	0.00488341	0.00976682
-93.93610586	0.00000000	-0.00610426
-93.92360586	-0.00610426	0.00976682
-93.91110586	-0.00610426	0.01465023
-93.89860586	-0.00610426	0.01465023
-93.88610586	-0.01098767	-0.00610426
-93.87360587	0.00000000	0.00976682
-93.86110587	-0.01098767	0.00976682
-93.84860587	-0.01709193	0.00488341
-93.83610587	0.00488341	0.01465023
-93.82360587	0.00488341	0.00488341
-93.81110587	0.00000000	0.00976682
-93.79860587	0.00488341	0.01465023
-93.78610587	-0.00610426	0.00488341
-93.77360587	-0.00610426	0.00488341
-93.76110587	0.00000000	0.01465023
-93.74860587	-0.00610426	0.00976682
-93.73610587	0.00000000	0.00000000
